	Aspergillus oryzae	Aspergillus chevalieri	Fusarium poae	Saccharomycodes ludwigii	Malassezia restricta	Fusarium verticillioides	Aspergillus fumigatus	Candida albicans	Fusarium pseudograminearum	Scheffersomyces stipitis	Brettanomyces bruxellensis	Fusarium fujikuroi	Candida dubliniensis	Kluyveromyces lactis	Fusarium venenatum	Thermothelomyces thermophilus	Kazachstania africana	Naumovozyma dairenensis	Pyricularia oryzae	Yarrowia lipolytica	Colletotrichum higginsianum	Lachancea thermotolerans	Saccharomyces eubayanus	Fusarium graminearum	Candida orthopsilosis	Torulaspora delbrueckii	Schizosaccharomyces pombe	Cercospora beticola	Rhizoctonia solani	Sporisorium graminicola	Pochonia chlamydosporia	Cryptococcus neoformans	Zymoseptoria tritici	Naumovozyma castellii	Thermothielavioides terrestris	Aspergillus luchuensis	[Candida] glabrata	Tetrapisispora blattae	Saccharomyces paradoxus	Zygotorulaspora mrakii	Sugiyamaella lignohabitans	Kluyveromyces marxianus	Tetrapisispora phaffii	Pyricularia pennisetigena	Fusarium oxysporum	Pyricularia grisea	Aspergillus puulaauensis	Talaromyces rugulosus	Fusarium musae	Zygosaccharomyces rouxii	Debaryomyces hansenii	Pichia kudriavzevii	Botrytis cinerea	Ustilaginoidea virens	Saccharomyces cerevisiae	Marasmius oreades	Eremothecium cymbalariae	Neurospora crassa	Aspergillus flavus	Drechmeria coniospora
Salmonella enterica	1.670431433	2.832632281	2.17715688	2.832732194	3.145689257	1.160567924	4.476866981	3.034926308	4.917404797	3.371187924	3.095348004	3.308276809	3.496680651	2.753999855	4.005902003	2.639758679	1.780053134	1.959096102	2.990609959	3.926601202	3.184797822	4.330869487	1.330655845	2.16095083	3.842823666	4.509655809	3.607731966	3.447900332	2.298682962	1.220573012	2.951420858	4.805527982	6.128617859	5.375356996	4.621565336	3.933674905	3.374367321	2.498494169	3.372870663	4.526326477	2.330429376	1.606161546	3.342140787	3.12931898	1.978502925	2.640186464	3.791692896	2.318386392	4.526666712	2.84746576	0.338153907	3.321623081	2.716738665	1.303549333	1.393187218	1.677594679	2.772415655	4.355868166	2.537882138	3.044471058
Cutibacterium acnes	-1.338243511	-0.052664975	-2.886673258	1.450105629	1.604769617	-0.062125637	-3.547067515	1.065915604	1.718471025	-0.745282557	-3.043822992	-1.072658946	0.587884832	4.07506144	0.443530552	1.510814633	-0.876496123	-1.208414527	0.539561563	2.0942678	2.896744936	-0.750726445	0.998792945	-2.411247805	5.838580856	4.074175406	2.05663473	3.512819821	-1.752886143	2.910954096	3.316448702	2.32518646	1.209316846	0.218850363	1.063654231	1.311945793	1.78120383	1.162066939	-1.337746552	2.749082117	1.637747417	3.096544292	0.204874039	4.557122777	2.61365053	1.843302729	0.078105872	2.156718461	-1.952240145	1.312569077	-0.701737318	0.991277367	1.64607612	3.501083604	2.793995273	0.274361552	-0.951367834	2.080235601	3.322296408	-1.546352513
Streptococcus salivarius	-0.146663756	2.307149895	0.610591815	1.131723627	1.304504163	-0.668899573	3.600812208	0.977049922	3.327071631	2.217596418	1.714738289	2.161952585	1.7068702	0.858497721	2.496998927	0.712516162	-2.210073581	-1.023218368	1.773582327	1.936863498	1.534184278	3.560250696	-1.261567974	0.779937702	2.330041123	3.201697543	2.203662803	3.185172096	0.624930893	-1.159505092	1.112439463	4.406187395	6.439395066	5.382125475	4.614635889	3.165312991	1.262389044	0.092383545	1.994500586	4.741201043	-0.052453323	-1.167947095	1.410542066	2.001088863	-0.374731516	0.573377648	2.103136984	-0.174881284	2.982959126	0.411142317	-2.027017695	1.930929856	-0.199780822	-1.702691789	-0.562948313	-0.538508951	1.525493262	3.820932441	0.705537104	0.721334907
Sphingomonas paucimobilis	-0.755905747	0.57620069	-1.116443564	1.057833243	1.268860684	-0.480881107	-0.098876553	0.951741424	2.280135812	0.478316363	-0.67687845	0.306736401	1.026341532	2.109251307	1.26978437	0.951927182	-0.795630404	-0.706891848	0.817932539	1.866846858	1.865904859	1.030935073	-0.042644191	-0.897159578	3.483653587	3.108799984	1.762867279	2.454289436	-0.583899531	0.743487882	1.897003086	2.641283579	2.955335667	2.097044156	2.060136759	1.70229241	1.427339972	0.664384303	0.196208435	2.758719993	0.782200986	0.971436113	0.762847434	2.615342221	1.017742771	1.074998335	0.977382637	0.982198056	0.516776801	0.907401499	-1.257206836	1.160526845	0.916091875	0.953839909	0.841489449	-0.118697168	0.063896909	2.282779167	1.683574822	-0.192725874
Porphyromonas asaccharolytica	0.221812693	-0.12118625	0.04103	0.413914687	0.487033106	0.296213143	-0.175263195	0.524934734	0.46672282	0.080897903	-0.004698315	0.052956511	0.410713877	0.66385059	0.316091772	0.494036857	1.054261561	0.668282971	0.17928062	0.603532075	0.507681654	-0.025603163	0.655431006	0.005297903	0.684516711	0.511307886	0.374566053	0.051304426	0.163156345	0.705707386	0.597727072	0.068127349	-0.221734382	-0.206032568	-0.16974222	0.101464697	0.607054193	0.640115869	0.122238468	-0.137823566	0.658505874	0.876779395	0.430451236	0.429399391	0.702616509	0.568073682	0.348811577	0.734617421	0.181806928	0.673988835	0.418678809	0.2858537	0.86891284	0.979148555	0.548417107	0.479715428	0.078992527	0.084880182	0.580588132	0.442380685
Paracoccus sp. MA	-1.057410403	-0.91194718	0.237621466	-0.096005001	0.611725055	-2.536684342	4.080403742	0.879784268	3.660814861	1.161889763	1.83729796	1.165024406	1.634030437	-1.0731584	2.329100051	-0.216730283	1.597955433	0.855111728	-0.011048288	2.09172766	-0.066470558	2.541497212	-1.715760442	-0.210483663	-0.161030637	1.583868038	0.78601491	-1.491995825	0.141970538	-2.957150099	-0.456016016	1.758312439	3.887845857	3.211650741	1.440469522	0.942760023	1.306844877	0.233440683	1.677068151	0.30737637	-0.309539747	-1.815223627	1.66430422	-1.477359499	-1.415399346	-0.181279772	2.283629517	-0.408967795	4.339364548	0.878732775	-3.206871719	0.651741826	1.074321673	-2.278350919	-3.092141741	-1.212577252	0.209761903	1.158873386	-1.25963095	2.27563076
Diaphorobacter sp. JS3050	-0.590379238	0.143490629	-0.895272148	0.143321715	0.13758493	-0.27752216	-0.835425071	-0.066130406	0.249311477	-0.227851786	-0.873142101	-0.307504549	-0.098446386	0.734887401	-0.043874138	0.085910852	-1.167738988	-0.928881593	0.071161339	0.213741643	0.51996139	-0.105515278	-0.255963141	-0.717767316	1.298038055	0.925094152	0.390243275	1.116502434	-0.646779855	0.287472238	0.564310359	0.779830485	0.730813339	0.385667389	0.590216581	0.407766092	0.095937432	-0.154058077	-0.447164877	1.080565235	-0.028463982	0.208794027	-0.239484749	1.10018494	0.223483114	0.124126063	-0.192688332	0.065743017	-0.650716327	-0.125667889	-0.609218218	0.128756179	-0.195454518	0.235133782	0.393787071	-0.316027682	-0.31035231	0.674877354	0.566887571	-0.800813105
Methanoplanus limicola	0.715509963	0.504293625	0.674658547	1.187159247	1.371203585	0.618590759	1.049770985	1.417633188	1.837269235	0.970692449	0.87636806	0.928771207	1.40881486	1.397329644	1.426181599	1.24245447	1.893570556	1.417512104	0.943486811	1.732777829	1.353139361	1.092382163	1.122644765	0.598528379	1.654051582	1.678724793	1.323432842	0.75903753	0.829132539	1.076101198	1.394469536	1.219078377	1.235864875	1.0901888	0.890437525	1.065976755	1.595909111	1.423472825	1.055981837	0.832310368	1.380388297	1.41656541	1.41032165	1.152535996	1.298913485	1.331558104	1.42825708	1.460246926	1.492729898	1.562759655	0.587347495	1.166180806	1.783954946	1.456470333	0.909380488	1.006781747	0.808655984	1.126680335	1.253686196	1.421889748
Ignicoccus hospitalis	-1.730461935	-1.903070494	-1.797348064	-1.848131082	-1.874129337	-1.674409095	-2.06565652	-1.855023746	-2.066847497	-1.932495686	-1.899872323	-1.927607559	-1.914692737	-1.825217804	-1.979564486	-1.818415886	-1.64644249	-1.709374326	-1.887491835	-1.946666544	-1.88353215	-2.048108077	-1.656084098	-1.802562465	-1.949627838	-2.031534389	-1.939595458	-1.968821246	-1.802341724	-1.649536479	-1.849889447	-2.105385154	-2.274930161	-2.186916494	-2.106776372	-2.002852381	-1.885073571	-1.784320177	-1.92456639	-2.102327682	-1.766806307	-1.671748297	-1.893836138	-1.895906808	-1.729315728	-1.81175784	-1.950847942	-1.759272764	-2.037622405	-1.818727306	-1.568314107	-1.913181565	-1.782997704	-1.629348237	-1.685950689	-1.710113801	-1.867787693	-2.053673634	-1.807926079	-1.850304207
Methanobrevibacter_A smithii	-1.279814895	0.553670967	-1.048308333	1.193408243	1.712972116	-1.635890974	1.950476472	1.431735145	4.253486613	1.230146439	0.195127961	1.042393844	1.910022899	1.885150446	2.553010485	0.971701496	-0.620806736	-0.63029178	1.071243515	3.005522706	2.117504936	2.545222362	-0.950861766	-0.962950286	3.906448406	4.312477894	2.437313609	2.443679838	-0.521901606	-0.5821754	1.936559658	4.070678679	5.52671899	4.202710068	3.368973532	2.580553281	2.139189307	0.746578316	1.096181006	3.690419237	0.640749737	0.0935646	1.598975812	2.438010186	0.416376489	1.093715726	2.167621143	0.794511415	2.603413281	1.298200082	-2.917261842	1.70982491	1.288531507	-0.183956371	-0.439501491	-0.727857352	0.323915779	3.374275299	1.342323325	0.721110134
