	Aspergillus oryzae	Aspergillus chevalieri	Fusarium poae	Saccharomycodes ludwigii	Malassezia restricta	Fusarium verticillioides	Aspergillus fumigatus	Candida albicans	Fusarium pseudograminearum	Scheffersomyces stipitis	Brettanomyces bruxellensis	Fusarium fujikuroi	Candida dubliniensis	Kluyveromyces lactis	Fusarium venenatum	Thermothelomyces thermophilus	Kazachstania africana	Naumovozyma dairenensis	Pyricularia oryzae	Yarrowia lipolytica	Colletotrichum higginsianum	Lachancea thermotolerans	Saccharomyces eubayanus	Fusarium graminearum	Candida orthopsilosis	Torulaspora delbrueckii	Schizosaccharomyces pombe	Cercospora beticola	Rhizoctonia solani	Sporisorium graminicola	Pochonia chlamydosporia	Cryptococcus neoformans	Zymoseptoria tritici	Naumovozyma castellii	Thermothielavioides terrestris	Aspergillus luchuensis	[Candida] glabrata	Tetrapisispora blattae	Saccharomyces paradoxus	Zygotorulaspora mrakii	Sugiyamaella lignohabitans	Kluyveromyces marxianus	Tetrapisispora phaffii	Pyricularia pennisetigena	Fusarium oxysporum	Pyricularia grisea	Aspergillus puulaauensis	Talaromyces rugulosus	Fusarium musae	Zygosaccharomyces rouxii	Debaryomyces hansenii	Pichia kudriavzevii	Botrytis cinerea	Ustilaginoidea virens	Saccharomyces cerevisiae	Marasmius oreades	Eremothecium cymbalariae	Neurospora crassa	Aspergillus flavus	Drechmeria coniospora
Methanobrevibacter_A woesei	0.731888612	0.706485525	-0.220895103	1.196640218	0.463859774	0.049980864	2.039770912	-1.111640352	0.852397319	1.939627088	1.314072399	1.800875453	0.676995873	0.768051928	0.754400429	1.297785015	1.500802002	0.843301495	0.746163761	0.343041715	0.210393416	0.616854457	0.298362997	0.55455666	-0.281851262	1.188401537	1.401510001	-0.330776679	0.966896219	0.528764714	1.003407721	1.760595492	0.214097725	1.429679157	0.903341616	1.539913824	1.735837705	1.496345249	0.02329002	0	-0.097863269	-0.230889577	0	0.546309279	-1.412438728	0.386748216	0.239310019	0.823586105	0.291227428	0.660152025	0.796489118	0	0.799533733	0.55088772	0.209483973	1.269861345	1.332467511	0.171707758	0.772583373	2.080557927
Enterococcus virus AUEF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chipapillomavirus 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia virus EC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella virus K11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium virus Lauchelly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellulophaga phage phi19:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glossina hytrosavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulfolobales Mexican fusellovirus 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter virus Acj61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CrAss-like virus sp.	0.828088838	0.778950372	1.024255648	0.79643116	0.831927261	0.86734804	-0.609277447	0.487691906	0.493442586	0.534568445	0.932630545	0.184120697	-0.272544029	0.930514888	0.884942047	0.956176906	0.955894531	0.767785885	0.95970668	0.669311767	0.606857947	0.614799255	0.889943534	1.282459042	1.39352985	-0.024225749	0.754470042	-0.446100853	0.773481961	1.521120016	1.281557249	0.670750914	0.926178984	0.109254946	1.094904269	0.540780987	-0.314574271	0.440221399	0.630664717	0	0.643734469	1.068884628	0	1.29180302	0.334358007	-1.196457833	1.489617106	-0.282986311	1.441467802	0.573517354	0.893856363	0	0.893436679	1.185554139	-1.088222931	0.148690335	0.908826148	0.677434208	-0.424974659	-0.215554178
Phthorimaea operculella granulovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque teno virus 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella virus Matisse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
crAssphage cr128_1	0.575791216	0.462368775	0.825287881	0.706323153	0.99172336	0.763056464	0.805974465	1.345187255	-0.038649706	-0.307268216	-0.67383609	0.200212507	1.640471194	0.585387304	0.61232374	0.444833563	0.040097018	-0.097281367	0.558820396	0.516077417	-0.374785864	1.030516287	0.843510062	0.864898572	1.439211982	0.748663362	-0.190573539	2.1061584	0.44421467	0.653038391	0.196410446	0.394591963	0.481372704	0.089333529	1.021488006	0.362748867	0.245949232	0.465592327	0.717243173	0	0.772523332	0.505470886	0	0.454598981	2.258550816	0.457388449	1.111011479	0.289896918	1.275545021	0.382530889	0.562513029	0	0.577001243	0.660965158	1.386175805	0.529490397	0.366327341	0.048887024	0.91605784	0.558104471
Klebsiella phage KPV15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
