	Aspergillus oryzae	Aspergillus chevalieri	Fusarium poae	Saccharomycodes ludwigii	Malassezia restricta	Fusarium verticillioides	Aspergillus fumigatus	Candida albicans	Fusarium pseudograminearum	Scheffersomyces stipitis	Brettanomyces bruxellensis	Fusarium fujikuroi	Candida dubliniensis	Kluyveromyces lactis	Fusarium venenatum	Thermothelomyces thermophilus	Kazachstania africana	Naumovozyma dairenensis	Pyricularia oryzae	Yarrowia lipolytica	Colletotrichum higginsianum	Lachancea thermotolerans	Saccharomyces eubayanus	Fusarium graminearum	Candida orthopsilosis	Torulaspora delbrueckii	Schizosaccharomyces pombe	Cercospora beticola	Rhizoctonia solani	Sporisorium graminicola	Pochonia chlamydosporia	Cryptococcus neoformans	Zymoseptoria tritici	Naumovozyma castellii	Thermothielavioides terrestris	Aspergillus luchuensis	[Candida] glabrata	Tetrapisispora blattae	Saccharomyces paradoxus	Zygotorulaspora mrakii	Sugiyamaella lignohabitans	Kluyveromyces marxianus	Tetrapisispora phaffii	Pyricularia pennisetigena	Fusarium oxysporum	Pyricularia grisea	Aspergillus puulaauensis	Talaromyces rugulosus	Fusarium musae	Zygosaccharomyces rouxii	Debaryomyces hansenii	Pichia kudriavzevii	Botrytis cinerea	Ustilaginoidea virens	Saccharomyces cerevisiae	Marasmius oreades	Eremothecium cymbalariae	Neurospora crassa	Aspergillus flavus	Drechmeria coniospora
Sphingomonas paucimobilis	0.329845889	0.62387964	0.649948296	0.626834501	0.881599496	0.036742952	0.654499477	0.244392678	-0.196741723	0.209157522	-0.486795854	0.060286357	0.599441984	-0.284025434	-0.034410301	-0.781506498	-0.552229546	-0.285560515	-0.090602987	0.073643758	-0.069529914	-0.370976996	0.145024238	-0.562332151	0.194657776	0.505905605	0.191219906	-0.60994168	0.21240956	0.733298971	0.089975473	0.405131896	0.751977155	-1.259183292	-1.052015198	0.277565472	0.179308102	-0.628419093	-0.213446643	0.222704016	0.409679262	0.130631056	-0.011456433	0.33258841	0.052604303	-0.127131508	0.715537083	-0.628650471	0.302079319	0.66352678	-0.288664418	-0.363243341	-0.302767114	-0.335447541	0.109592008	0.479614177	-0.034109413	0.561759845	0.335294043	0.106011142
Porphyromonas asaccharolytica	1.604944787	1.799932085	1.677061812	1.682139195	2.305290019	0.953575978	1.677714865	1.767136241	0.913310082	1.615564537	1.204451105	1.2767077	1.935368938	1.209635083	1.467752918	0.732208042	0.964372072	1.142660375	1.267222532	1.449318715	1.588358109	1.330038566	1.451618747	1.071746888	1.715005426	1.658739004	1.620436119	0.768082045	1.488709915	1.85281159	1.532209999	1.571700654	2.178317847	-0.076571119	0.673204229	1.351238627	1.529012567	1.393062344	1.14450187	1.685345133	1.401655869	1.452781679	1.565539584	1.404772694	1.623620618	1.150645778	2.115827475	0.93505536	1.922905309	1.802000452	0.811092396	0.800761376	1.35626738	1.413509798	0.725603289	1.8954069	1.519566141	1.773286913	1.473506522	1.35237645
Paracoccus sp. MA	2.599529897	2.147681874	2.113272167	2.06284237	5.011222934	1.857971962	1.992123122	1.742289015	-0.253322767	1.941924492	0.926197333	1.814717732	2.422609543	2.456212352	0.77147678	0.415715348	0.535439377	1.734600932	0.756628593	2.35689609	1.522653019	0.188779706	1.010806939	2.274777667	1.947926827	3.363133738	0.914498715	1.758228529	2.638272656	2.345904169	1.908330194	0.459762847	3.995059782	-3.243144501	0.866885536	0.22185702	1.717718662	1.087742885	2.729990629	2.115111298	1.939371774	1.547122439	1.820684406	2.58804105	1.525416792	-0.505552825	2.605945035	-0.588708601	2.381671906	0.883246644	-0.475413276	-0.039132642	1.878234245	1.702029461	-0.778074436	1.677279312	1.977912618	2.572637114	2.870093557	1.767115254
Diaphorobacter sp. JS3050	3.138347274	3.277583843	3.079977915	3.06298354	5.295209349	1.798656619	3.029795612	3.008150119	0.809372987	2.85957361	1.717332381	2.272625729	3.596912261	2.402270667	2.106461791	0.747416254	1.178832466	1.993181885	1.789039134	2.767112888	2.604675237	1.607937846	2.206319951	2.081436629	3.010640857	3.566965156	2.427022293	1.395181051	2.964157686	3.455734381	2.703815039	2.185827266	4.654229219	-2.096394262	0.816880651	1.734353914	2.629384246	2.054601692	2.428796819	3.04039192	2.55892974	2.434646586	2.704437508	2.830236221	2.674993265	1.070001518	3.962966847	0.64599282	3.523747764	2.746883449	0.5481029	0.709307969	2.37596195	2.38341184	0.338763473	3.204143815	2.699073293	3.410470797	3.054972881	2.373278315
Methanoplanus limicola	0.4104156	0.038997337	0.178395017	0.170097214	-0.192353231	1.156934821	0.158158188	0.098255031	0.929969197	0.321273735	0.817988936	0.750127319	-0.07898545	1.004114907	0.374412876	1.381161686	1.065746128	0.97485832	0.630182729	0.619191177	0.350928645	0.525170461	0.392242994	1.20500026	0.20445098	0.424719761	0.160408199	1.507333251	0.583960683	-0.018684751	0.444552065	0.103950427	-0.166933505	1.908984398	1.580970542	0.364965243	0.398582692	0.642257225	1.111259262	0.260548159	0.54000093	0.477091221	0.412020989	0.653494509	0.280664215	0.585955368	-0.296729193	0.944432143	-0.006015176	-0.167331158	1.041331451	1.136957819	0.739291753	0.649428133	1.013807509	-0.119799361	0.497189595	0.150830255	0.61220445	0.639029166
Ignicoccus hospitalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobrevibacter_A smithii	6.690531019	6.356145661	6.492137289	6.411281086	8.860741168	6.383197316	6.378308213	5.573320227	4.108203209	5.90177235	4.601510225	5.998195322	6.442252605	6.315138856	4.656194049	4.313144883	4.421356623	5.685989912	4.807916253	6.344837864	5.21188736	3.86831462	5.108965465	5.984127736	5.777803686	7.571078926	4.87385102	5.773862113	6.729654704	6.611593251	5.830826483	4.725399892	7.869389447	1.133129753	4.51784602	4.602394185	5.748514855	4.385065674	6.735646412	6.006178942	6.368157941	5.614716982	5.593696614	6.911095766	5.310997234	3.668931923	6.544890864	3.272670965	6.083666846	5.164686741	3.905442247	4.259346472	5.562802257	5.288935654	4.153705384	5.626672025	5.774234636	6.731601987	7.110742086	5.916469068
Methanonatronarchaeum sp. AMET6-2	0.105387731	0.085252936	0.027047116	0.056073648	-0.518535735	0.208884477	0.051104168	0.415273455	0.813711428	0.334659855	0.862171239	0.330031197	0.094349728	0.391668842	0.697415055	0.986209833	0.897651862	0.525179232	0.659727723	0.269250905	0.603272913	0.996341449	0.518280699	0.56354974	0.382683336	-0.159195353	0.574743105	0.589820918	0.129645773	-0.010742838	0.389449163	0.512854459	-0.258702907	1.79319243	1.044243896	0.564105059	0.36966433	0.995215759	0.258818638	0.315469092	0.117395418	0.410487593	0.489623023	0.027657345	0.534091886	0.916329981	0.047225823	1.184711661	0.297219977	0.338005712	0.884354854	0.833772743	0.589045915	0.672444315	0.651416519	0.322571743	0.451892989	0.022860647	-0.009321239	0.338866485
Methanosphaera sp900322125	1.653840307	1.574221588	1.666045752	1.653068139	1.471378736	1.98135412	1.659545037	1.461998876	1.810715743	1.570222622	1.59471093	1.758475699	1.488945936	1.744700975	1.531233464	1.810006995	1.720459559	1.746552956	1.655363342	1.674245649	1.483111561	1.494104098	1.609367114	1.749776091	1.49693498	1.714532073	1.497829136	1.917634281	1.703916554	1.58107311	1.592635847	1.566118194	1.459485038	2.013444716	1.800760847	1.669676463	1.608283356	1.430754323	1.828180852	1.536314078	1.779024436	1.637828985	1.534287438	1.794987008	1.493204738	1.648587778	1.40697	1.649170009	1.408857175	1.505884873	1.84260918	1.855008593	1.600207216	1.539751693	1.999786767	1.435807609	1.569644089	1.601407518	1.764830755	1.71481184
Methanobrevibacter_A woesei	-0.372460107	-0.489335262	-0.493659877	-0.474909231	-0.986425383	-0.094688018	-0.481909922	-0.233895588	0.279362683	-0.231259358	0.286147794	-0.117752568	-0.514441922	-0.002420421	0.044936669	0.529208972	0.378898452	0.085379892	0.087344308	-0.196728854	-0.028584016	0.302431166	-0.080028768	0.177097234	-0.228226749	-0.559582799	-0.102447758	0.277826982	-0.307361752	-0.574536607	-0.157815672	-0.163687631	-0.792363764	1.253583255	0.626783127	-0.055574206	-0.185097434	0.335202259	-0.06927869	-0.261485601	-0.329531498	-0.134281445	-0.094010701	-0.362630741	-0.098072298	0.259595033	-0.607837255	0.552496895	-0.347064643	-0.364151276	0.360742334	0.350856816	0.067757703	0.103548666	0.18329073	-0.360966337	-0.097908269	-0.503404655	-0.400288251	-0.141748698
