Node	Type	Mean_counts
Proteus	Bacteria|Proteobacteria	
Providencia	Bacteria|Proteobacteria	
Pseudarthrobacter	Bacteria|Actinobacteria	0.001
Pseudoalteromonas	Bacteria|Proteobacteria	
Pseudomonas	Bacteria|Proteobacteria	
Pseudovibrio	Bacteria|Proteobacteria	0.001
Pseudoxanthomonas	Bacteria|Proteobacteria	0.001
Psychrobacter	Bacteria|Proteobacteria	0.001
Raoultella	Bacteria|Proteobacteria	
Rhizobium	Bacteria|Proteobacteria	
Rhodobacter	Bacteria|Proteobacteria	0.001
Rhodococcus	Bacteria|Actinobacteria	
Rhodoluna	Bacteria|Actinobacteria	0.001
Roseiflexus	Bacteria|Chloroflexi	0.001
Roseivivax	Bacteria|Proteobacteria	0.001
Roseolovirus	Viruses|Peploviricota	
Rothia	Bacteria|Actinobacteria	
Ruegeria	Bacteria|Proteobacteria	0.001
Sepunavirus	Viruses|Uroviricota	0.001
Serinicoccus	Bacteria|Actinobacteria	0.001
Serratia	Bacteria|Proteobacteria	
Shewanella	Bacteria|Proteobacteria	
Shigella	Bacteria|Proteobacteria	
Shinella	Bacteria|Proteobacteria	
Skermanella	Bacteria|Proteobacteria	
Sphingobacterium	Bacteria|Bacteroidetes	
Sphingobium	Bacteria|Proteobacteria	
Sphingomonas	Bacteria|Proteobacteria	
Sphingosinicella	Bacteria|Proteobacteria	0.001
Sphingosinithalassobacter	Bacteria|Proteobacteria	0.001
Spiribacter	Bacteria|Proteobacteria	0.001
Spiroplasma	Bacteria|Tenericutes	
Spirosoma	Bacteria|Bacteroidetes	0.001
Sporosarcina	Bacteria|Firmicutes	
Staphylococcus	Bacteria|Firmicutes	
Staphylothermus	Archaea|Crenarchaeota	
Stappia	Bacteria|Proteobacteria	0.001
Stenotrophomonas	Bacteria|Proteobacteria	
Stieleria	Bacteria|Planctomycetes	0.001
Streptococcus	Bacteria|Firmicutes	
Streptomyces	Bacteria|Actinobacteria	
Sulfolobus	Archaea|Crenarchaeota	0.001
Sulfurimonas	Bacteria|Proteobacteria	0.001
Sulfurospirillum	Bacteria|Proteobacteria	0.001
Synechocystis	Bacteria|Cyanobacteria	0.001
Tardiphaga	Bacteria|Proteobacteria	0.001
Tetragenococcus	Bacteria|Firmicutes	0.001
Thalassospira	Bacteria|Proteobacteria	0.001
Thermoanaerobacter	Bacteria|Firmicutes	0.001
Thermomonas	Bacteria|Proteobacteria	
Thermus	Bacteria|Deinococcus-Thermus	0.001
Thiohalobacter	Bacteria|Proteobacteria	0.001
Thiomonas	Bacteria|Proteobacteria	0.001
Tomitella	Bacteria|Actinobacteria	0.001
Treponema	Bacteria|Spirochaetes	
Variovorax	Bacteria|Proteobacteria	
Vibrio	Bacteria|Proteobacteria	
Virgibacillus	Bacteria|Firmicutes	
Weissella	Bacteria|Firmicutes	
Winogradskyella	Bacteria|Bacteroidetes	0.001
Xanthomonas	Bacteria|Proteobacteria	
Xylanimonas	Bacteria|Actinobacteria	0.001
Yersinia	Bacteria|Proteobacteria	0.001
Candidatus Methanomethylophilus	Archaea|Candidatus Thermoplasmatota	
Methanomassiliicoccus_A	Archaea|Candidatus Thermoplasmatota	
Ignicoccus	Archaea|Crenarchaeota	0.001
Hyperthermus	Archaea|Crenarchaeota	0.001
Infirmifilum	Archaea|Crenarchaeota	0.001
Halanaeroarchaeum	Archaea|Euryarchaeota	0.001
Halopenitus	Archaea|Euryarchaeota	0.001
Natronococcus	Archaea|Euryarchaeota	0.001
Methanobrevibacter	Archaea|Euryarchaeota	
Methanobrevibacter_A	Archaea|Euryarchaeota	
Methanosphaera	Archaea|Euryarchaeota	
Candidatus Nitrosocaldus	Archaea|Thaumarchaeota	0.001
Candidatus Nitrosopelagicus	Archaea|Thaumarchaeota	0.001
Candidatus Chazhemtobacterium	Bacteria|NA	
Iamia	Bacteria|Actinobacteria	0.001
Ilumatobacter	Bacteria|Actinobacteria	0.001
Actinobaculum	Bacteria|Actinobacteria	0.001
Actinotignum	Bacteria|Actinobacteria	
Arcanobacterium	Bacteria|Actinobacteria	
Mobiluncus	Bacteria|Actinobacteria	
Schaalia	Bacteria|Actinobacteria	
Trueperella	Bacteria|Actinobacteria	
Bifidobacterium	Bacteria|Actinobacteria	
Gardnerella	Bacteria|Actinobacteria	
Lawsonella	Bacteria|Actinobacteria	0.001
Miniimonas	Bacteria|Actinobacteria	
Paraoerskovia	Bacteria|Actinobacteria	0.001
Allobranchiibius	Bacteria|Actinobacteria	
Gephyromycinifex	Bacteria|Actinobacteria	0.001
Arsenicicoccus	Bacteria|Actinobacteria	0.001
Kytococcus	Bacteria|Actinobacteria	0.001
Herbiconiux	Bacteria|Actinobacteria	0.001
Micrococcus	Bacteria|Actinobacteria	
Pengzhenrongella	Bacteria|Actinobacteria	0.001
Actinoplanes	Bacteria|Actinobacteria	0.001
Pimelobacter	Bacteria|Actinobacteria	0.001
Arachnia	Bacteria|Actinobacteria	0.001
Brevilactibacter	Bacteria|Actinobacteria	0.001
Cutibacterium	Bacteria|Actinobacteria	
Vaginimicrobium	Bacteria|Actinobacteria	
Alloactinosynnema	Bacteria|Actinobacteria	0.001
Allokutzneria	Bacteria|Actinobacteria	0.001
Allosaccharopolyspora	Bacteria|Actinobacteria	0.001
Saccharothrix	Bacteria|Actinobacteria	0.001
Actinomadura	Bacteria|Actinobacteria	
Atopobium	Bacteria|Actinobacteria	
Lancefieldella	Bacteria|Actinobacteria	
Olsenella	Bacteria|Actinobacteria	
Parafannyhessea	Bacteria|Actinobacteria	
Parolsenella	Bacteria|Actinobacteria	
Thermophilibacter	Bacteria|Actinobacteria	
Collinsella	Bacteria|Actinobacteria	
Adlercreutzia	Bacteria|Actinobacteria	
Arabiibacter	Bacteria|Actinobacteria	
Berryella	Bacteria|Actinobacteria	
Denitrobacterium	Bacteria|Actinobacteria	
Eggerthella	Bacteria|Actinobacteria	
Gordonibacter	Bacteria|Actinobacteria	
Raoultibacter	Bacteria|Actinobacteria	
Slackia	Bacteria|Actinobacteria	
Sulfurihydrogenibium	Bacteria|Aquificae	0.001
Bacteroides	Bacteria|Bacteroidetes	
Phocaeicola	Bacteria|Bacteroidetes	
Barnesiella	Bacteria|Bacteroidetes	
Coprobacter	Bacteria|Bacteroidetes	
Petrimonas	Bacteria|Bacteroidetes	0.001
Duncaniella	Bacteria|Bacteroidetes	
Muribaculum	Bacteria|Bacteroidetes	
Butyricimonas	Bacteria|Bacteroidetes	
Odoribacter	Bacteria|Bacteroidetes	
Porphyromonas	Bacteria|Bacteroidetes	
Paraprevotella	Bacteria|Bacteroidetes	
Prevotella	Bacteria|Bacteroidetes	
Pseudoprevotella	Bacteria|Bacteroidetes	
Alistipes	Bacteria|Bacteroidetes	
Parabacteroides	Bacteria|Bacteroidetes	
Tannerella	Bacteria|Bacteroidetes	
Tenuifilum	Bacteria|Bacteroidetes	0.001
Pseudobacter	Bacteria|Bacteroidetes	0.001
Belliella	Bacteria|Bacteroidetes	0.001
Echinicola	Bacteria|Bacteroidetes	
Flammeovirga	Bacteria|Bacteroidetes	0.001
Chryseolinea	Bacteria|Bacteroidetes	0.001
Fulvivirga	Bacteria|Bacteroidetes	0.001
Larkinella	Bacteria|Bacteroidetes	0.001
Fluviicola	Bacteria|Bacteroidetes	0.001
Aquimarina	Bacteria|Bacteroidetes	0.001
Oceanihabitans	Bacteria|Bacteroidetes	
Siansivirga	Bacteria|Bacteroidetes	0.001
Bergeyella	Bacteria|Bacteroidetes	
Cloacibacterium	Bacteria|Bacteroidetes	0.001
Cruoricaptor	Bacteria|Bacteroidetes	
Empedobacter	Bacteria|Bacteroidetes	
Riemerella	Bacteria|Bacteroidetes	0.001
Pedobacter	Bacteria|Bacteroidetes	
Rhodocaloribacter	Bacteria|Bacteroidetes	0.001
Candidatus Nanosynbacter	Bacteria|Candidatus Saccharibacteria	0.001
Candidatus Promineofilum	Bacteria|Chloroflexi	0.001
Dehalococcoides	Bacteria|Chloroflexi	
Chroococcidiopsis	Bacteria|Cyanobacteria	0.001
Richelia	Bacteria|Cyanobacteria	0.001
Geitlerinema	Bacteria|Cyanobacteria	0.001
Thermoleptolyngbya	Bacteria|Cyanobacteria	0.001
Parasynechococcus	Bacteria|Cyanobacteria	0.001
Alkalihalobacillus	Bacteria|Firmicutes	
Cytobacillus	Bacteria|Firmicutes	
Evansella	Bacteria|Firmicutes	0.001
Fictibacillus	Bacteria|Firmicutes	
Gracilibacillus	Bacteria|Firmicutes	0.001
Halobacillus	Bacteria|Firmicutes	
Mesobacillus	Bacteria|Firmicutes	0.001
Neobacillus	Bacteria|Firmicutes	0.001
Oceanobacillus	Bacteria|Firmicutes	0.001
Parageobacillus	Bacteria|Firmicutes	0.001
Peribacillus	Bacteria|Firmicutes	0.001
Psychrobacillus	Bacteria|Firmicutes	0.001
Rossellomorea	Bacteria|Firmicutes	
Salicibibacter	Bacteria|Firmicutes	0.001
Sutcliffiella	Bacteria|Firmicutes	0.001
Listeria	Bacteria|Firmicutes	
Cohnella	Bacteria|Firmicutes	
Paenisporosarcina	Bacteria|Firmicutes	0.001
Solibacillus	Bacteria|Firmicutes	0.001
Ureibacillus	Bacteria|Firmicutes	0.001
Viridibacillus	Bacteria|Firmicutes	0.001
Jeotgalicoccus	Bacteria|Firmicutes	0.001
Mammaliicoccus	Bacteria|Firmicutes	
Nosocomiicoccus	Bacteria|Firmicutes	0.001
Gemella	Bacteria|Firmicutes	
Aerococcus	Bacteria|Firmicutes	
Dolosigranulum	Bacteria|Firmicutes	0.001
Granulicatella	Bacteria|Firmicutes	
Vagococcus	Bacteria|Firmicutes	
Companilactobacillus	Bacteria|Firmicutes	
Furfurilactobacillus	Bacteria|Firmicutes	0.001
Ligilactobacillus	Bacteria|Firmicutes	
Christensenella	Bacteria|Firmicutes	
Alkaliphilus	Bacteria|Firmicutes	
Caloramator	Bacteria|Firmicutes	
Crassaminicella	Bacteria|Firmicutes	
Geosporobacter	Bacteria|Firmicutes	
Hathewaya	Bacteria|Firmicutes	
Hungatella	Bacteria|Firmicutes	
Paraclostridium	Bacteria|Firmicutes	
Sarcina	Bacteria|Firmicutes	
Serpentinicella	Bacteria|Firmicutes	0.001
Desulfitobacterium	Bacteria|Firmicutes	
Desulfosporosinus	Bacteria|Firmicutes	
Syntrophobotulus	Bacteria|Firmicutes	
Acetobacterium	Bacteria|Firmicutes	
Eubacterium	Bacteria|Firmicutes	
Aminipila	Bacteria|Firmicutes	
Emergencia	Bacteria|Firmicutes	
Mogibacterium	Bacteria|Firmicutes	
Anaerobutyricum	Bacteria|Firmicutes	
Anaerocolumna	Bacteria|Firmicutes	
Anaerostipes	Bacteria|Firmicutes	
Anaerotignum	Bacteria|Firmicutes	
Blautia	Bacteria|Firmicutes	
Butyrivibrio	Bacteria|Firmicutes	
Cellulosilyticum	Bacteria|Firmicutes	
Coprococcus	Bacteria|Firmicutes	
Dorea	Bacteria|Firmicutes	
Enterocloster	Bacteria|Firmicutes	
Faecalicatena	Bacteria|Firmicutes	
Herbinix	Bacteria|Firmicutes	
Lachnoanaerobaculum	Bacteria|Firmicutes	
Lachnoclostridium	Bacteria|Firmicutes	
Lachnospira	Bacteria|Firmicutes	
Lacrimispora	Bacteria|Firmicutes	
Mediterraneibacter	Bacteria|Firmicutes	
Novisyntrophococcus	Bacteria|Firmicutes	
Pseudobutyrivibrio	Bacteria|Firmicutes	
Roseburia	Bacteria|Firmicutes	
Sellimonas	Bacteria|Firmicutes	
Acetivibrio	Bacteria|Firmicutes	
Acutalibacter	Bacteria|Firmicutes	
Anaerotruncus	Bacteria|Firmicutes	
Caproicibacter	Bacteria|Firmicutes	
Caproicibacterium	Bacteria|Firmicutes	
Caproiciproducens	Bacteria|Firmicutes	
Dysosmobacter	Bacteria|Firmicutes	
Ethanoligenens	Bacteria|Firmicutes	
Faecalibacterium	Bacteria|Firmicutes	
Fastidiosipila	Bacteria|Firmicutes	
Flavonifractor	Bacteria|Firmicutes	
Mageeibacillus	Bacteria|Firmicutes	0.001
Monoglobus	Bacteria|Firmicutes	
Oscillibacter	Bacteria|Firmicutes	
Pseudoclostridium	Bacteria|Firmicutes	0.001
Pusillibacter	Bacteria|Firmicutes	
Ruminiclostridium	Bacteria|Firmicutes	
Ruminococcus	Bacteria|Firmicutes	
Ruthenibacterium	Bacteria|Firmicutes	
Solibaculum	Bacteria|Firmicutes	
Vescimonas	Bacteria|Firmicutes	
Acetoanaerobium	Bacteria|Firmicutes	
Filifactor	Bacteria|Firmicutes	
Paeniclostridium	Bacteria|Firmicutes	
Peptacetobacter	Bacteria|Firmicutes	
Peptoclostridium	Bacteria|Firmicutes	
Romboutsia	Bacteria|Firmicutes	
Terrisporobacter	Bacteria|Firmicutes	
Alkalicella	Bacteria|Firmicutes	0.001
Caloranaerobacter	Bacteria|Firmicutes	
Petrocella	Bacteria|Firmicutes	0.001
Vallitalea	Bacteria|Firmicutes	
Flintibacter	Bacteria|Firmicutes	
Intestinimonas	Bacteria|Firmicutes	
Massilistercora	Bacteria|Firmicutes	
Halanaerobium	Bacteria|Firmicutes	0.001
Iocasia	Bacteria|Firmicutes	0.001
Acetohalobium	Bacteria|Firmicutes	0.001
Anoxybacter	Bacteria|Firmicutes	0.001
Thermacetogenium	Bacteria|Firmicutes	0.001
