Node	Type	Mean_counts
Arsenicicoccus	Bacteria|Actinobacteria	
Kytococcus	Bacteria|Actinobacteria	
Herbiconiux	Bacteria|Actinobacteria	
Micrococcus	Bacteria|Actinobacteria	0.001
Pengzhenrongella	Bacteria|Actinobacteria	
Actinoplanes	Bacteria|Actinobacteria	0.001
Pimelobacter	Bacteria|Actinobacteria	
Arachnia	Bacteria|Actinobacteria	
Brevilactibacter	Bacteria|Actinobacteria	
Cutibacterium	Bacteria|Actinobacteria	
Vaginimicrobium	Bacteria|Actinobacteria	0.001
Alloactinosynnema	Bacteria|Actinobacteria	
Allokutzneria	Bacteria|Actinobacteria	
Allosaccharopolyspora	Bacteria|Actinobacteria	
Saccharothrix	Bacteria|Actinobacteria	
Actinomadura	Bacteria|Actinobacteria	0.001
Atopobium	Bacteria|Actinobacteria	
Lancefieldella	Bacteria|Actinobacteria	
Olsenella	Bacteria|Actinobacteria	
Parafannyhessea	Bacteria|Actinobacteria	
Parolsenella	Bacteria|Actinobacteria	
Thermophilibacter	Bacteria|Actinobacteria	0.001
Collinsella	Bacteria|Actinobacteria	
Adlercreutzia	Bacteria|Actinobacteria	
Arabiibacter	Bacteria|Actinobacteria	
Berryella	Bacteria|Actinobacteria	
Denitrobacterium	Bacteria|Actinobacteria	
Eggerthella	Bacteria|Actinobacteria	
Gordonibacter	Bacteria|Actinobacteria	
Raoultibacter	Bacteria|Actinobacteria	
Slackia	Bacteria|Actinobacteria	
Sulfurihydrogenibium	Bacteria|Aquificae	
Bacteroides	Bacteria|Bacteroidetes	
Phocaeicola	Bacteria|Bacteroidetes	
Barnesiella	Bacteria|Bacteroidetes	
Coprobacter	Bacteria|Bacteroidetes	
Petrimonas	Bacteria|Bacteroidetes	
Duncaniella	Bacteria|Bacteroidetes	0.001
Muribaculum	Bacteria|Bacteroidetes	
Butyricimonas	Bacteria|Bacteroidetes	
Odoribacter	Bacteria|Bacteroidetes	
Porphyromonas	Bacteria|Bacteroidetes	
Paraprevotella	Bacteria|Bacteroidetes	
Prevotella	Bacteria|Bacteroidetes	
Pseudoprevotella	Bacteria|Bacteroidetes	0.001
Alistipes	Bacteria|Bacteroidetes	
Parabacteroides	Bacteria|Bacteroidetes	
Tannerella	Bacteria|Bacteroidetes	
Tenuifilum	Bacteria|Bacteroidetes	
Pseudobacter	Bacteria|Bacteroidetes	
Belliella	Bacteria|Bacteroidetes	
Echinicola	Bacteria|Bacteroidetes	
Flammeovirga	Bacteria|Bacteroidetes	
Chryseolinea	Bacteria|Bacteroidetes	
Fulvivirga	Bacteria|Bacteroidetes	
Larkinella	Bacteria|Bacteroidetes	
Fluviicola	Bacteria|Bacteroidetes	
Aquimarina	Bacteria|Bacteroidetes	
Oceanihabitans	Bacteria|Bacteroidetes	0.001
Siansivirga	Bacteria|Bacteroidetes	
Bergeyella	Bacteria|Bacteroidetes	
Cloacibacterium	Bacteria|Bacteroidetes	
Cruoricaptor	Bacteria|Bacteroidetes	0.001
Empedobacter	Bacteria|Bacteroidetes	0.001
Riemerella	Bacteria|Bacteroidetes	
Pedobacter	Bacteria|Bacteroidetes	
Rhodocaloribacter	Bacteria|Bacteroidetes	
Candidatus Nanosynbacter	Bacteria|Candidatus Saccharibacteria	
Candidatus Promineofilum	Bacteria|Chloroflexi	
Dehalococcoides	Bacteria|Chloroflexi	0.001
Chroococcidiopsis	Bacteria|Cyanobacteria	
Richelia	Bacteria|Cyanobacteria	
Geitlerinema	Bacteria|Cyanobacteria	
Thermoleptolyngbya	Bacteria|Cyanobacteria	
Parasynechococcus	Bacteria|Cyanobacteria	
Alkalihalobacillus	Bacteria|Firmicutes	
Cytobacillus	Bacteria|Firmicutes	
Evansella	Bacteria|Firmicutes	
Fictibacillus	Bacteria|Firmicutes	0.001
Gracilibacillus	Bacteria|Firmicutes	
Halobacillus	Bacteria|Firmicutes	
Mesobacillus	Bacteria|Firmicutes	
Neobacillus	Bacteria|Firmicutes	
Oceanobacillus	Bacteria|Firmicutes	
Parageobacillus	Bacteria|Firmicutes	
Peribacillus	Bacteria|Firmicutes	
Psychrobacillus	Bacteria|Firmicutes	
Rossellomorea	Bacteria|Firmicutes	0.001
Salicibibacter	Bacteria|Firmicutes	
Sutcliffiella	Bacteria|Firmicutes	0.001
Listeria	Bacteria|Firmicutes	
Cohnella	Bacteria|Firmicutes	
Paenisporosarcina	Bacteria|Firmicutes	
Solibacillus	Bacteria|Firmicutes	
Ureibacillus	Bacteria|Firmicutes	
Viridibacillus	Bacteria|Firmicutes	
Jeotgalicoccus	Bacteria|Firmicutes	
Mammaliicoccus	Bacteria|Firmicutes	
Nosocomiicoccus	Bacteria|Firmicutes	
Gemella	Bacteria|Firmicutes	
Aerococcus	Bacteria|Firmicutes	
Dolosigranulum	Bacteria|Firmicutes	
Granulicatella	Bacteria|Firmicutes	
Vagococcus	Bacteria|Firmicutes	
Companilactobacillus	Bacteria|Firmicutes	
Furfurilactobacillus	Bacteria|Firmicutes	
Ligilactobacillus	Bacteria|Firmicutes	
Christensenella	Bacteria|Firmicutes	
Alkaliphilus	Bacteria|Firmicutes	
Caloramator	Bacteria|Firmicutes	0.001
Crassaminicella	Bacteria|Firmicutes	
Geosporobacter	Bacteria|Firmicutes	
Hathewaya	Bacteria|Firmicutes	
Hungatella	Bacteria|Firmicutes	
Paraclostridium	Bacteria|Firmicutes	
Sarcina	Bacteria|Firmicutes	
Serpentinicella	Bacteria|Firmicutes	
Desulfitobacterium	Bacteria|Firmicutes	
Desulfosporosinus	Bacteria|Firmicutes	
Syntrophobotulus	Bacteria|Firmicutes	0.001
Acetobacterium	Bacteria|Firmicutes	
Eubacterium	Bacteria|Firmicutes	
Aminipila	Bacteria|Firmicutes	
Emergencia	Bacteria|Firmicutes	
Mogibacterium	Bacteria|Firmicutes	
Anaerobutyricum	Bacteria|Firmicutes	
Anaerocolumna	Bacteria|Firmicutes	
Anaerostipes	Bacteria|Firmicutes	
Anaerotignum	Bacteria|Firmicutes	
Blautia	Bacteria|Firmicutes	
Butyrivibrio	Bacteria|Firmicutes	
Cellulosilyticum	Bacteria|Firmicutes	
Coprococcus	Bacteria|Firmicutes	
Dorea	Bacteria|Firmicutes	
Enterocloster	Bacteria|Firmicutes	
Faecalicatena	Bacteria|Firmicutes	
Herbinix	Bacteria|Firmicutes	
Lachnoanaerobaculum	Bacteria|Firmicutes	
Lachnoclostridium	Bacteria|Firmicutes	
Lachnospira	Bacteria|Firmicutes	
Lacrimispora	Bacteria|Firmicutes	
Mediterraneibacter	Bacteria|Firmicutes	
Novisyntrophococcus	Bacteria|Firmicutes	
Pseudobutyrivibrio	Bacteria|Firmicutes	
Roseburia	Bacteria|Firmicutes	
Sellimonas	Bacteria|Firmicutes	
Acetivibrio	Bacteria|Firmicutes	
Acutalibacter	Bacteria|Firmicutes	
Anaerotruncus	Bacteria|Firmicutes	
Caproicibacter	Bacteria|Firmicutes	
Caproicibacterium	Bacteria|Firmicutes	
Caproiciproducens	Bacteria|Firmicutes	
Dysosmobacter	Bacteria|Firmicutes	
Ethanoligenens	Bacteria|Firmicutes	0.001
Faecalibacterium	Bacteria|Firmicutes	
Fastidiosipila	Bacteria|Firmicutes	
Flavonifractor	Bacteria|Firmicutes	
Mageeibacillus	Bacteria|Firmicutes	
Monoglobus	Bacteria|Firmicutes	
Oscillibacter	Bacteria|Firmicutes	
Pseudoclostridium	Bacteria|Firmicutes	
Pusillibacter	Bacteria|Firmicutes	
