node1	node2	cor_value
Methanobrevibacter_A smithii_A	Fusarium poae	-0.420593471
Methanobrevibacter_A smithii_A	Thermothelomyces thermophilus	-0.342878264
Mogibacterium diversum	Yarrowia lipolytica	-0.393828602
Nocardioides sp. S5	Candida dubliniensis	0.303890717
Nocardioides sp. S5	Yarrowia lipolytica	0.3613064
Nocardioides sp. TF02-7	Cercospora beticola	0.301792047
Nocardioides sp. TF02-7	Aspergillus oryzae	0.306145646
Nocardioides sp. TF02-7	Candida dubliniensis	0.332712411
Nocardioides sp. TF02-7	Thermothelomyces thermophilus	0.325548892
Oscillibacter sp. NSJ-62	Cercospora beticola	-0.39774196
Oscillibacter sp. NSJ-62	Aspergillus fumigatus	-0.357373392
Oscillibacter sp. NSJ-62	Aspergillus luchuensis	-0.320108708
Oscillibacter sp. NSJ-62	Aspergillus oryzae	-0.372163404
Oscillibacter sp. NSJ-62	Aspergillus puulaauensis	-0.363490057
Oscillibacter sp. NSJ-62	Candida dubliniensis	-0.362462979
Oscillibacter sp. NSJ-62	Yarrowia lipolytica	-0.473646857
Oscillibacter sp. NSJ-62	[Candida] glabrata	-0.319871039
Oscillibacter sp. NSJ-62	Colletotrichum higginsianum	-0.302937984
Oscillibacter sp. NSJ-62	Fusarium poae	-0.325552787
Oscillibacter sp. NSJ-62	Thermothelomyces thermophilus	-0.384991889
Paracoccus sp. MA	Zymoseptoria tritici	0.362515955
Parvimonas micra	Aspergillus fumigatus	-0.329908932
Parvimonas micra	Aspergillus oryzae	-0.336996125
Parvimonas micra	Aspergillus puulaauensis	-0.331395845
Porphyromonas asaccharolytica	Aspergillus oryzae	-0.314888469
Porphyromonas asaccharolytica	Thermothelomyces thermophilus	-0.337265117
Prevotella intermedia	Candida albicans	-0.321823976
Pseudomonas thivervalensis	Candida dubliniensis	0.335869635
Pseudomonas thivervalensis	Yarrowia lipolytica	0.324447252
Ralstonia sp. 56D2	Aspergillus fumigatus	0.319650649
Roseburia sp. NSJ-69	Cercospora beticola	-0.396253289
Roseburia sp. NSJ-69	Aspergillus fumigatus	-0.369154961
Roseburia sp. NSJ-69	Aspergillus oryzae	-0.388671888
Roseburia sp. NSJ-69	Aspergillus puulaauensis	-0.417812544
Roseburia sp. NSJ-69	Candida dubliniensis	-0.422519425
Roseburia sp. NSJ-69	Yarrowia lipolytica	-0.43714722
Roseburia sp. NSJ-69	Kluyveromyces marxianus	-0.331847161
Roseburia sp. NSJ-69	Fusarium poae	-0.404969868
Roseburia sp. NSJ-69	Thermothelomyces thermophilus	-0.334304958
Selenomonas sputigena	Zymoseptoria tritici	0.413549501
Streptococcus agalactiae	Aspergillus fumigatus	-0.376035762
Streptococcus agalactiae	Aspergillus oryzae	-0.332559182
Streptococcus agalactiae	Yarrowia lipolytica	-0.30701891
Streptococcus agalactiae	Colletotrichum higginsianum	-0.313833651
Streptococcus agalactiae	Thermothelomyces thermophilus	-0.366143848
Streptococcus constellatus	Aspergillus puulaauensis	-0.317269698
Streptococcus constellatus	Thermothelomyces thermophilus	-0.371930944
Streptococcus thermophilus	Aspergillus puulaauensis	-0.309748015
Vescimonas coprocola	Aspergillus oryzae	-0.352383277
Vescimonas fastidiosa	Aspergillus fumigatus	-0.321104551
Vescimonas fastidiosa	Aspergillus oryzae	-0.35058259
Xanthomonas campestris	Cercospora beticola	0.326131226
Xanthomonas campestris	Candida dubliniensis	0.322128992
Xanthomonas campestris	Yarrowia lipolytica	0.441239081
Yarrowia lipolytica	Thermothelomyces thermophilus	0.383943201
Yarrowia lipolytica	Human betaherpesvirus 7	0.304010534
Yarrowia lipolytica	Human immunodeficiency virus 1	0.365104909
