node1	node2	cor_value
Actinomyces	Coprococcus	0.327607211
Actinomyces	Dorea	0.356260263
Actinomyces	Faecalicatena	0.410650775
Actinomyces	Lachnoclostridium	0.410948292
Actinomyces	Lachnospira	0.341276095
Actinomyces	Lacrimispora	0.380437857
Actinomyces	Mediterraneibacter	0.325057466
Actinomyces	Novisyntrophococcus	0.408409467
Actinomyces	Roseburia	0.347451099
Actinomyces	Dysosmobacter	0.370045928
Actinomyces	Faecalibacterium	0.466584065
Actinomyces	Oscillibacter	0.391043003
Actinomyces	Pusillibacter	0.345406647
Actinomyces	Romboutsia	0.361718445
Actinomyces	Flintibacter	0.357576441
Actinomyces	Massilistercora	0.38302833
Actinomyces	Caldicellulosiruptor	0.350673023
Actinomyces	Amedibacterium	0.301334443
Actinomyces	Faecalibacillus	0.401478579
Actinomyces	Longicatena	0.418204816
Actinomyces	Selenomonas	0.303211171
Actinomyces	Anaerococcus	0.326188412
Actinomyces	Ndongobacter	0.318609906
Actinomyces	Leptotrichia	0.37739946
Actinomyces	Methylorubrum	0.415174045
Actinomyces	Comamonas	0.437600924
Actinomyces	Diaphorobacter	0.578596988
Actinomyces	Escherichia	0.32630194
Aeromonas	Campylobacter	0.385110331
Aeromonas	Enterobacter	0.41680445
Aeromonas	Haemophilus	0.331600058
Aeromonas	Klebsiella	0.440047264
Aeromonas	Streptococcus	0.39722279
Aeromonas	Methanosphaera	0.300159381
Aeromonas	Gemella	0.449742985
Aeromonas	Granulicatella	0.452079807
Aeromonas	Aminipila	0.316997185
Aeromonas	Mogibacterium	0.376328659
Aeromonas	Oscillibacter	0.316432036
Aeromonas	Filifactor	0.451818507
Aeromonas	Selenomonas	0.383259019
Aeromonas	Parvimonas	0.42009042
Aeromonas	Ndongobacter	0.317251775
Aeromonas	Fusobacterium	0.328325766
Aeromonas	Leptotrichia	0.480605279
Aeromonas	Salmonella	0.32265491
Agrobacterium	Lachnospira	0.312121426
Algibacter	Clostridioides	-0.325659011
Algibacter	Clostridium	-0.368056356
Algibacter	Streptomyces	-0.308498173
Algibacter	Methanobrevibacter_A	-0.314067403
Algibacter	Eggerthella	-0.318957312
Algibacter	Blautia	-0.34459621
Algibacter	Lachnoclostridium	-0.340435204
Algibacter	Lacrimispora	-0.339954775
Amycolatopsis	Campylobacter	0.359075241
Amycolatopsis	Clostridium	0.339540543
Amycolatopsis	Corynebacterium	0.383682774
Amycolatopsis	Priestia	0.316087657
Amycolatopsis	Rothia	0.302331834
Amycolatopsis	Streptomyces	0.417360332
Amycolatopsis	Methanomassiliicoccus_A	0.305510985
Amycolatopsis	Methanobrevibacter_A	0.31913703
Amycolatopsis	Mobiluncus	0.343457318
Amycolatopsis	Bifidobacterium	0.367112194
Amycolatopsis	Olsenella	0.423679519
Amycolatopsis	Adlercreutzia	0.333390069
Amycolatopsis	Christensenella	0.38237274
Amycolatopsis	Eubacterium	0.326499994
Amycolatopsis	Butyrivibrio	0.313977842
Amycolatopsis	Lachnospira	0.375345206
Amycolatopsis	Novisyntrophococcus	0.322215559
