PG.ProteinGroups	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T21	T22	T23	T26	T27	T28	T29	T30	T32	T33	T34	T35	T36	T37	T38	T39	T42	T43	T44	T45	T46	T47	T48	T50	T51	T52	T53	T55	T57	T58	T59	T60	T62	T63	T64	T65	T66	T67	T68	T69	T70	T71	T72	T73	T74	T75	T76
A0A0R4J2E6;B1APY8;B1APY9;P26378	0.581755244	0.581585161	0.584374784	0.579350192	0.575947865	0.593095585	18.30490079	0.585237675	0.591837269	0.593944625	0.587800034	0.589560683	0.585934391	0.585410039	0.583042283	0.592159146	0.579532045	0.582275275	0.579501539	0.592780112	0.58745784	0.586818079	18.3978352	0.587253191	17.48989168	18.23635703	0.576220513	0.579198768	0.58355355	17.47289482	0.576506287	18.45670208	0.586805216	0.584789233	0.593050578	18.62192822	0.589491253	0.582970721	0.57993581	0.585468012	19.55558522	0.59050874	0.586015858	16.78157783	0.59419031	0.593558761	0.588791336	0.57782152	0.590982055	0.590711184	0.575833849	0.588391439	0.582972492	0.58103602	0.59435082	0.593683743	0.589836013	0.586492549	0.580756964	0.57864634	0.580943685	15.97196982
A0A0U1RQC9;P04637	0.590521944	0.592906292	18.23577936	0.586425208	20.80936631	19.88023323	19.65572789	0.576680082	22.67689864	0.591355893	0.587795533	0.59427771	0.582499809	20.15065033	0.581836724	0.579633683	0.578172317	0.593715744	0.578668658	15.84466171	0.594358616	19.09823646	0.587996105	0.591666433	16.26085868	0.577292328	16.91462719	18.8256142	0.581893769	18.94860482	22.08011552	0.581399165	0.581960864	0.578085024	0.576653363	0.579766179	0.585671863	0.576793811	0.592725494	0.575445923	0.576935119	0.58134532	19.00376769	19.53337905	0.583864904	19.68683027	18.49742234	0.590201347	0.5867269	20.36020303	19.0068989	18.73492127	19.31817441	19.7605289	0.578486508	0.575789529	0.576296122	0.575443988	0.578168722	0.590284733	0.577666971	0.579017774
A0A0U1RQT7;A0A0U1RQY7;Q8IXA3;Q9HCP0;U3KQA5;U3KQB3	0.580335384	18.89527646	18.20307717	18.09170364	19.96087515	18.56201644	18.44415413	19.02909981	20.38008052	20.0248463	0.593109476	0.580766033	19.08765658	16.94009221	13.08420777	17.3885044	16.45127828	0.578402108	18.72484761	0.592501237	16.08328438	17.77996967	18.95977453	19.24879622	18.04631704	16.63431542	18.34776706	17.51326544	18.4247327	17.80154013	18.10670063	17.6375562	16.4978891	18.73239042	17.63558318	15.58318907	18.04471962	0.587562357	19.0480353	0.582900187	0.584309404	19.57422544	18.41505328	18.49175073	18.56654732	19.39906287	20.18945495	18.54529976	20.70636301	19.01763387	17.3832948	17.92334571	19.45442531	18.72034447	19.7263426	19.18855293	0.592669766	17.90136337	18.69544815	18.06683993	16.09401597	17.60877505
A0A0U1RQV3	0.583017457	0.594090458	0.579615937	0.575614012	17.85278094	16.6211833	14.54812788	15.19579886	0.592253135	0.581680585	15.76053236	18.8928798	15.62704443	17.56121533	0.593737538	0.585645235	15.5076265	0.585586669	16.5202928	0.589090724	0.5870928	16.08546695	0.591651574	0.576255668	14.67802173	0.585187436	14.50284006	0.585665228	11.84470835	15.7833284	16.63857114	16.41162141	0.592236624	0.575550728	18.52641924	16.95311306	16.63997688	0.594480632	15.85969297	17.81185992	0.579917964	16.43233035	13.67088939	17.18789842	0.584570626	0.588838859	15.19066657	0.591692554	0.579451437	0.584933065	0.582257075	0.591748784	14.46335823	0.592360444	0.591469576	0.576992507	0.576669347	18.71104463	0.591095633	0.587343104	0.588828205	0.582321601
A0A0U1RR80	17.71130389	0.582628971	18.37756363	0.592402451	0.579305559	0.582989365	0.579350038	18.02592728	0.586654287	0.588716729	17.024473	17.46331357	15.97740388	17.69334381	0.581991087	0.57916565	0.588555481	0.594436061	0.59174964	17.99535899	0.594152541	17.30734258	16.75141953	0.578709161	0.578172214	15.88833412	0.591873048	0.585295754	0.590989127	16.73847691	17.47243514	0.583324982	0.588850208	0.581313957	17.6465909	0.581858745	0.575478507	0.580946401	0.587813479	1.518683107	0.594388497	0.579234374	0.584810231	16.21404174	0.587503774	0.577311995	0.583442014	0.575969661	0.584391432	0.593662721	0.585235074	0.594090917	17.61297544	0.592729414	0.586726438	0.580588287	0.580670032	0.588121186	0.588934341	0.584358901	0.575534692	0.586481538
A0A0U1RRA6;B5MCG9;B5MCU0;H7C0E9;Q9Y2K5	0.594445943	18.85251379	18.21113198	19.09552612	0.582971861	17.83611981	19.27464631	17.90073398	0.58124771	0.583662448	18.28165459	18.5524035	0.588009222	18.54319612	0.590893058	17.35597232	17.65565879	0.588031525	17.20844529	18.08804787	16.42860872	17.69294959	17.5975909	0.587222717	19.4476305	21.03126118	18.33202302	17.16046697	19.41213771	19.05003046	19.30507717	18.44424387	16.20970412	0.583110376	16.76923031	17.41656381	18.7196963	0.583061427	18.93843548	0.580694154	17.37856555	18.28421779	18.58973114	18.67468473	18.38015148	0.585527447	0.587416112	17.14155727	0.58201962	19.28829948	19.53838469	19.0626768	18.57084149	19.99663881	0.591293178	0.59236313	0.590737778	14.54527725	0.593436184	0.593363362	0.589706411	17.94526727
A0A0U1RRB3;Q8IYT2	0.576434842	17.7653887	18.81438855	18.08732217	0.578570996	0.581250706	16.77723515	16.68839578	0.579142932	0.593641575	21.16514653	18.31753779	0.576469671	17.37820157	0.57807133	0.579736385	19.31617807	0.593468377	21.13684956	20.21728578	0.587666831	16.83334152	0.583387605	0.591875947	16.80780063	19.36107072	19.17238539	19.56064303	17.25910002	18.44917031	0.577257656	0.585811731	0.592557251	0.575721752	18.54219116	17.27973667	17.81499164	0.585716292	18.10017467	0.590350984	19.37417294	19.07147382	16.77425622	19.54331237	0.587396017	0.579079863	0.578827181	19.88163127	0.579631896	21.80103533	17.39770623	19.69902326	17.22873137	0.587991378	0.581436781	0.58427006	0.586812597	0.586061924	19.77701948	0.585511827	0.594023421	18.3442176
A0A0U1RRK1;A0A286YF11;F6XEV2;Q9BPX6	19.05365796	18.1167101	18.12126316	18.42903046	18.86571222	18.16478711	18.29881437	17.78549138	0.592303541	19.97505132	16.12656254	19.62801104	18.9227977	18.56866417	19.69603586	18.48876199	17.20079476	20.54716872	18.25970606	18.09285664	19.24382916	19.11567141	17.60317808	18.71701889	19.24337885	16.730543	17.62734941	18.61882985	18.37452056	17.9678543	18.19505089	19.37106299	18.48566228	19.88334172	19.89897699	18.29740946	18.22728719	19.08818264	20.09145121	18.13002579	16.74316701	18.74414483	19.65121772	19.27593096	19.28725738	17.64499594	18.56517206	17.52322776	20.21670235	19.1400863	18.75529103	19.09971812	18.32420596	18.90362887	19.60878824	19.8509958	18.85500531	18.43092861	18.28995484	0.581329861	17.88232521	18.82493292
A0A0U1RRL5;P32519	21.08484925	19.98076272	19.4269744	18.17759184	20.34072091	18.96427264	20.90663842	18.23632666	20.15662658	19.18832368	19.82134337	17.43536417	20.26393322	18.49883411	19.64106942	19.91822461	19.40503886	20.66755229	20.44962437	20.52071974	17.8351438	20.22142487	20.42933561	22.93177297	20.37914367	18.73707143	20.29916762	20.88154026	19.72735505	20.6287906	20.24303942	17.34488048	19.99368519	18.37354158	20.18724906	19.20900171	20.34603131	22.26602715	18.10323321	20.47501471	18.16171885	19.35202833	20.6935882	19.92314973	19.26706197	18.76299348	20.69616261	19.21206202	21.13220506	21.50499206	19.95794337	19.65834367	20.79436172	18.9780385	21.66239772	21.68534648	17.29586546	19.724215	20.55554882	0.583571014	20.37655878	20.68048723
A0A0U1RRL8;Q8TB22	20.3421364	19.89025333	18.41780205	19.49503473	20.83480192	16.44587568	20.21223765	19.78015806	0.59272159	23.10403448	19.49244331	19.65240868	20.18422825	18.39218088	21.00729817	21.2019335	19.85650332	19.91247778	19.62206221	19.45677652	20.80641146	20.61770869	19.09011468	17.49672922	19.76728683	18.92142266	19.32144288	19.13059994	18.61036175	20.28845326	18.78131318	18.56766578	20.21479015	18.67907499	19.16732794	19.63643788	19.6276698	21.93212805	19.69065898	19.74757961	20.89340301	18.69162927	18.83101821	19.12088284	18.01627646	17.85469797	21.15619112	20.43867575	18.73307006	19.0625052	18.22738606	19.01501615	20.53011422	17.92235619	18.13869631	19.89748451	20.74600702	19.63208098	19.82492923	22.46610696	18.33331398	16.10306845
